Pdf url,Case title,Jurisdiction of Origin,UNCAC Offenses Implicated,Money laundering Implicated,Legal Basis for Asset Recovery,Contributing Factors in Asset Recovery,Case Summary,Disposition of Criminal Case(s)
https://star.worldbank.org/corruption-cases/printpdf/18445,JGC Corporation (TSKJ Consortium Nigeria Settlement),Japan,Art.16Art.23,Yes,Criminal Prosecution; Criminal Fine and Restitution,"Settlement Agreement (Source: JGC Corporation's January 31, 2011 Notice of Loss and Revisions of Earnings Forecasts for Fiscal Year Ending March 31, 2011.)","According to the JGC Corporation's January 31, 2011 Notice of Loss and Revisions of Earnings Forecasts for Fiscal Year Ending March 31, 2011, JGC reached a settlement with the Nigerian authorities in January 2011 to settle charges arising from the Bonny Island/LNG project. The company agreed to pay 2.5 billion yen. (Source: JGC Corporation's January 31, 2011 Notice of Loss and Revisions of Earnings Forecasts for Fiscal Year Ending March 31, 2011.) Background on the Bonny Island project, TSKJ joint venture and the JGC Corporation's settlement with the US Department of Justice are described in US v. JGC Corporation, Case https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.23No. 4:11-cr-00260 (S.D. Tex.), Deferred Prosecution Agreement and Statement of Facts filed April 6, 2011. Please note that the exact date of Nigerian settlement is not known; January 31, 2011 was used as date for purposes of currency conversion from yen to US dollars. Please note that the settlement agreement with the Nigerian government is confidential and not publicly available.","According to the JGC Corporation's January 31, 2011 Notice of Loss and Revisions of Earnings Forecasts for Fiscal Year Ending March 31, 2011, JGC reached a settlement with the Nigerian authorities in January 2011. No other details were noted in the company's notice. (Source: JGC Corporation's January 31, 2011 Notice of Loss and Revisions of Earnings Forecasts for Fiscal Year Ending March 31, 2011.)"
https://star.worldbank.org/corruption-cases/printpdf/18444,Noble Corporation (Nigeria Settlement),Switzerland,Art.16,No,Criminal Prosecution; Criminal Fine,"Settlement agreement (Source: Noble Corporation, US Securities and Exchange Commission Form 8-K, January 31, 2011.)","According to the Form 8-K filed by the Noble Corporation with the US Securities and Exchange Commission, the Nigerian Economic and Financial Crimes Commission and the Nigerian Attorney General's Office investigation related to the same activities as previously settled by Noble Corporation with the U.S. Department of Justice and the Securities Exchange Commission under the U.S. Foreign Corrupt Practices Act of certain reimbursement payments made by the company's Nigerian affiliate to customs agents in Nigeria. The company stated that as part of the January 28, 2011 Non-prosecution agreement executed by a subsidiary of Noble-Swiss with the Government of Nigeria, the Noble-Swiss subsidiary will pay $2.5 million https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16to resolve all charges and claims of the Nigerian government. (Sources: Noble Corporation, US Securities and Exchange Commission Form 8-K, January 31, 2011; US Department of Justice: In Re: Noble Corporation, Nonprosecution Agreement and Statement of Facts, dated November 4, 2010.) Please note that the settlement agreement with the Nigerian government is confidential and not publicly available.",
https://star.worldbank.org/corruption-cases/printpdf/18443,Halliburton / Kellogg Brown & Root LLC (TSKJ Consortium Nigeria Settlement / Swiss Account),"Nigeria, United States",Art.16Art.23,Yes,Unspecified \(Arising out of nonprosecution agreement between Government of Nigeria and Halliburton\,Ongoing Case,"According to a December 21, 2010 Press Release by Halliburton, as part of its agreement with the Federal Government of Nigeria (FGN), ""Halliburton agreed to pay US$32.5 million to https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.23the FGN and to pay an additional US$2.5 million for FGN's attorneys' fees and other expenses. Among other provisions, Halliburton agreed to provide reasonable assistance int agent."" (Source: Hallliburton Press Release, ""Halliburton Confirms Agreement to Settle with Federal Government of Nigeria,"" December 21, 2010; see also BBC News, ""Nigeria drops Dick Cheney bribery charges,"" December 17, 2010 (quoting EFCC spokesman Femi Babafemi as stating that the settlement had been reached and mention of frozen foreign account.)  The 2010 Ministerial Media Briefing on the Activities of the Federal Ministry of Justice by Mr. Mohammed Bello Adoke, SAN, Honourable Attorney-General of the Federation and Minister of Justice, also noted the Halliburton settlement.  (22 December 2010). Background to the Bonny Island project and misconduct are described in US v. Kellogg Brown & Root LLC, Case No. 4:09-cr-00071 (S.D. Tex.), Plea Agreement and Statement of Facts filed on February 11, 2009. Please note that the settlement agreement with the Nigerian government is confidential and not publicly available.","According to a December 21, 2010 Press Release by Halliburton, pursuant to an agreement with the Federal Government of Nigeria (FGN), ""all lawsuits and charges against KBR and Halliburton corporate entities and associated persons have been withdrawn, the FGN agreed not to bring any further criminal charges or civil claims against those entities or persons."" (Source: Hallliburton Press Release, ""Halliburton Confirms Agreement to Settle with Federal Government of Nigeria,"" December 21, 2010.)"
https://star.worldbank.org/corruption-cases/printpdf/18442,Halliburton / Kellogg Brown & Root LLC (TSKJ Consortium Nigeria Settlement),United States,Art.16Art.23,Yes,Criminal Prosecution; Criminal Fine / Restitution,"Settlement agreement (Source: Hallliburton Press Release, ""Halliburton Confirms Agreement to Settle with Federal Government of Nigeria,"" December 21, 2010.)","According to a December 21, 2010 Press Release by Halliburton, as part of its agreement with the Federal Government of Nigeria (FGN), ""Halliburton agreed to pay US$32.5 million to the FGN and to pay an additional US$2.5 million for FGN's attorneys' fees and other expenses. Among other provisions, Halliburton agreed to provide reasonable assistance int https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.23agent."" (Source: Hallliburton Press Release, ""Halliburton Confirms Agreement to Settle with Federal Government of Nigeria,"" December 21, 2010; 2010 Ministerial Media Briefing on the Activities of the Federal Ministry of Justice by Mr. Mohammed Bello Adoke, SAN, Honourable Attorney-General of the Federation and Minister of Justice, 22 December 2010.) Background to the Bonny Island project and misconduct are described in US v. Kellogg Brown & Root LLC, Case No. 4:09-cr-00071 (S.D. Tex.), Plea Agreement and Statement of Facts filed on February 11, 2009. Please note that the settlement agreement with the Nigerian government is confidential and not publicly available.","According to a December 21, 2010 Press Release by Halliburton, pursuant to an agreement with the Federal Government of Nigeria (FGN), ""all lawsuits and charges against KBR and Halliburton corporate entities and associated persons have been withdrawn, the FGN agreed not to bring any further criminal charges or civil claims against those entities or persons."" (Source: Hallliburton Press Release, ""Halliburton Confirms Agreement to Settle with Federal Government of Nigeria,"" December 21, 2010.)"
https://star.worldbank.org/corruption-cases/printpdf/18441,"David B. Chalmers, Jr. / Bayoil (USA) Inc. / Bayoil Supply & Trading, Limited (UN Oil-for-Food)",United States,Art. 2Art.14Art.16,No,"Criminal Prosecution, Criminal Restitution","In announcing the guilty pleas, the United States Attorney for the Southern District of New York, Mr. Michael Garcia ""praised the work of the Federal Bureau of Investigation, Criminal and Counterintelligence Divisions. He also expressed appreciation to the United States Treasury Department, Office of Foreign Assets Control; the United States Department of State; the United Nations Office of Legal Affairs; and the former Independent Inquiry Committee into the United Nations Oil-for-Food Program for their assistance in this investigation."" (Source: United States Attorney's Office for the Southern District of New York Press Release, ""U.S. ANNOUNCES FOUR GUILTY PLEAS IN OIL-FOR-FOOD CASE,"" August 17, 2007.)","According to a press release by the United States Attorney's Office for the Southern District of New York, on August 7, 2007, David B. Chalmers, Jr. and his companies - Bayoil (USA) Inc., and Bayoil Supply & Trading, Limited - pleaded guilty to one count of conspiracy to commit wire fraud, in relation to their involvement in a kick-back scheme related to the UN Oil-for-Food program in Iraq. (Source: United States Attorney's Office for the Southern District of New York Press Release, ""U.S. ANNOUNCES FOUR GUILTY PLEAS IN OIL-FOR-FOOD CASE,"" August 17, 2007). As described in the Order of Restitution in the case, as part of their sentencing, Chalmers and the Bayoil companies had been ordered to pay restitution of $9,016,151.40, for which they had joint and several liability; the March 25, 2008 Order of Restitution ordered the three to pay the restitution to the Development Fund of Iraq, in care of Ambassador Srood Najib, to be used as restitution for the benefit of the Iraqi people. (Source: US v. Chalmers, et al, Case No. 1:05-cr-00059-DC (S.D.N.Y.), Order of Restitution filed on March 25, 2008.) The Development Fund of Iraq was established on May 21, 2003, by United Nations Security Council Resolution 1483 and originally overseen by the Coalition Provisional Authority, then by the Interim Iraqi government with the oversight of the International Advisory and Monitoring Board for Iraq; as of July 2011, the Government of Iraq assumed full autonomy for the proceeds of the Development Fund for Iraq. (Source: United Nations Security Council Press Statement, SC/10307, IK/636, ""Security Council Statement on the Development Fund for Iraq,"" June 30, 2011.)","According to the Order of Restitution filed in US v. Chalmers, et al, on August 7, 2007, David B. Chalmers, Jr. and his companies - Bayoil (USA) Inc., and Bayoil Supply & Trading, Limited - pleaded guilty to one count of conspiracy to commit wire fraud, in violation of Section 1349 of Title 18, United States Code. (Source: US v. Chalmers, et al, Case No. 1:05-cr-00059-DC (S.D.N.Y.), Order of Restitution filed on March 25, 2008.)"
https://star.worldbank.org/corruption-cases/printpdf/18438,Muammar el-Qaddafi (and related entities and individuals) (United States),Libya,Art.20,No,United Nations Security Council Resolutions 1970 and 1973,Ongoing Case,"According to the December 16, 2011 Fact Sheet by the US Department of Treasury, ""In conjunction with action taken at the United Nations (UN), the U.S. Department of the Treasury today issued General License No. 11, unblocking more than $30 billion in assets of the under U.S. law are funds of the LIA and its subsidiaries, including the Libyan Africa Investment Portfolio (LAIP). Both the LIA and the LAIP remain listed at the UN. The property and interests in property of certain members of the Qadhafi family, certain senior members of https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.20the Qadhafi regime, and certain entities in which they have an interest also remain blocked."" (Source: US Department of the Treasury, ""Fact Sheet: Lifting Sanctions on the Government of Libya,"" December 16, 2011.) On February 25, 2011, President Barack Obama had issued an Executive Order entitled ""Blocking Property and Prohibiting Certain Transactions Related to Libya."" President Obama based the Executive Order under powers granted to him under the International Emergency Economic Powers Act and the National Emergencies Act. The Executive Order applied to Mr. Muammar Qadhafi, members of his government, members of his family and close associates. (Source: The White House, Executive Order, Blocking Property and Prohibiting Certain Transactions Related to Libya, February 25, 2011).",
https://star.worldbank.org/corruption-cases/printpdf/18437,Muammar el-Qaddafi (and related entities and individuals)- Netherlands Asset Return,Libya,Art.20,No,United Nations Security Council sanctions,"Transitional Financial Mechanism set up by the International Contact Group for Libya. The mechanism has safeguards in place to ensure responsible spending. The funds will go towards humanitarian needs, such as food and medicines, and education and salaries. (Source: The Netherlands Ministry of Foreign Affairs, ""The Netherlands unfreezes 2 billion dollars? worth of Libyan assets,"" September 12, 2011.)","According to a news article by The Netherlands Ministry of Foreign Affairs, on September 12, 2011, the Netherlands agreed to unfreeze US $2 billion in Libyan assets that had previously been blocked by the Dutch government. (Source: The Netherlands Ministry of Foreign Affairs, ""The Netherlands unfreezes 2 billion dollars? worth of Libyan assets,"" September 12, 2011.) In August 2011, the (UK) Telegraph reported that the Netherlands had frozen some EUR 3.1 billion in Libyan assets. (Source: The Telegraph, ""Libya: Netherlands gives £87 million of frozen assets to WHO, August 16, 2011.)",
https://star.worldbank.org/corruption-cases/printpdf/18439,Ananias Tumukunde,Uganda,Art.16,No,"Criminal Prosecution, Criminal Restitution",First conviction in overseas corporate corruption case by the City of London Police Overseas Anti-Corruption Unit since its establishment in June 2006.,"According to the Norton Rose law firm Case Study cited in the July 13, 2011 United Kingdom's UNCAC Self-Assessment Report, Mr. Tumukunde made contact with Niels Tobiasen, the Managing Director of CBRN Team Ltd., a security specialist, regarding the procurement of training and security equipment for the Ugandan army in the run-up to the Commonwealth Heads of Government Meeting, held in Kampala in 2007. CBRN Team Ltd. signed a contract with Mr. Tumukunde worth GBP 210,000 for the equipment, but Tobiasen reportedly agreed and made five 'local payments' totalling around GBP 83,000 to Tumukunde https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16and a Ugandan army officer, Rusoke Tagaswire, between 2007 and 2008. The purported agency payments in fact were inducements that went directly into two bank accounts opened by Tumukunde and Tagaswire in the UK. The London Police received information of Tumukunde's plans to travel to the UK and Tumukunde was arrested by Scotland Yard at Heathrow Airport. (Tobiasen later pleaded guilty to making corrupt payments to Tobiasen. Source: City of London Police Statement, ""Guilty plea to bribery sets legal landmark,"" July 27, 2010.) On September 22, 2008, Tumukunde pleaded guilty, before His Honour Judge Wadsworth in the Southwark Crown Court to accepting corrupt payments and was sentenced (Source: Norton Rose (law firm), ""Case Study: CBRN Team Ltd (non-FCPA)."") Written evidence presented by the UK's Department for International Development (DFID) to the Parliament's International Development Committee stated that GBP35,000 has been returned in the case involving Mr. Tumukunde. (Source: UK Parliament, International Development Committee, ""Supplementary written evidence submitted by The Department for International Development (DFID),"" June 2012.)","According to the United Kingdom's UNCAC Self-Assessment Report of July 13, 2011, Mr. Tumukunde pleaded guilty and was sentenced on 22 September 2008 by the Southwark Crown Court to 12 months imprisonment for receiving corrupt payments in relation to a contract with a British company (CBRN Team Ltd) for training and equipment for the Ugandan Army. The UK Report noted that ""(Although charges under the Public Bodies Corrupt Practices Act 1889 could have been used, it was decided to prosecute for money laundering offences)."" (Source: UK Self-Assessment Report, at 24.)"
https://star.worldbank.org/corruption-cases/printpdf/18440,Instituto Nacional de Seguros (INS) and Instituto Costarricense de Electricidad (ICE) / Julian Messent,Costa Rica,Art.16,No,"Criminal Prosecution, Criminal Restitution","""Following elections in Costa Rica in 2002, officials in INS and ICE were replaced. Enquiries were made into the contract with PWS and questions were raised about payments made under it. The Foreign and Commonwealth Office referred the case to the SFO in October 2005 and the case was accepted for investigation in August 2006."" (Source: UK Serious Fraud Office Press Release, ""Insurance Broker jailed for bribing Costa Rican officials,"" October 26, 2010.)","https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16In upholding Mr. Messent;s sentece, the Court of Appeals stated that, ""The government of Costa Rica, and therefore the citizens of Costa Rica, were in effect made to pay for the corruption of their own officials by foreigners and therefore they suffered a loss of not far short 01 March 2011)) The Court also stated that, ""in the context of the observations in the 2004 United Convention against Corruption, we remind ourselves that corruption 'undermines a government's ability to provide basic services'."" (Source: Ibid.) According to the October 26, 2010 press release by the UK Serious Fraud Office, UK insurance broker Julian Messent was sentenced to imprisonment ""after admitting making or authorising corrupt payments of almost US $2 million to Costa Rican officials in the state insurance company, Instituto Nacional de Seguros (INS) and the national electricity and telecommunications provider Instituto Costarricense de Electricidad (ICE). He was ordered to pay £100,000 compensation within 28 days to the Republic of Costa Rica or serve an additional 12 months imprisonment if he fails to do so. Following a joint investigation by the Serious Fraud Office and the City of London Police which opened in 2006, Julian Messent (d.o.b. 20/02/60), who was a director of London-based insurance business PWS International Ltd (""PWS""), pleaded guilty at Southwark Crown Court to two counts of making corrupt payments between February 1999 and June 2002, contrary to s1 (1) of the Prevention of Corruption Act 1906. The sentence passed was 21 months imprisonment on each count to run concurrently. He also asked for 39 similar offences to be taken into consideration."" (Source: UK Serious Fraud Office Press Release, ""Insurance Broker jailed for bribing Costa Rican officials,"" October 26, 2010.) The Press Release noted that there were ongoing prosecution in Costa Rica of the alleged bribe recipients and that the SFO was cooperating with the Costa Rican authorities in the matter. Written evidence presented by the UK's Department for International Development (DFID) to the Parliament's International Development Committee stated that US$100,000 has been returned to Costa Rica in the case involving Mr. Messent. (Source: UK Parliament, International Development Committee, ""Supplementary written evidence submitted by The Department for International Development (DFID),"" June 2012.) According to the Serious Fraud Office's submission to the UK Parliament, ""There were a number of practical problems involved in the transmission of the payment to the authorities in Costa Rica. There has been discussion as well as to which organisation in Costa Rica should benefit from the funds."" (Source: UK Parliament, House of Commons, International Development Committee, ""Financial Crime and Development, Eleventh Report of Session 2010-12,"" 15 November 2011.)","According to the October 26, 2010 press release by the UK Serious Fraud Office, UK insurance broker ""Julian Messent was sentenced today to 21 months' imprisonment after admitting making or authorising corrupt payments of almost US $2 million to Costa Rican officials."" (Source: UK Serious Fraud Office Press Release, ""Insurance Broker jailed for bribing Costa Rican officials,"" October 26, 2010.). His sentence was upheld in 2011 by the England and Wales Court of Appeal (Criminal DivisionCrim 644 (01 March 2011))"
https://star.worldbank.org/corruption-cases/printpdf/18436,Muammar el-Qaddafi (and related entities and individuals)- World Health Organization Recovery case,Libya,Art.20,No,United Nations Security Council sanctions,"Approval of the UN Sanctions Committee to unfreeze funds and provide to the World Health Organization (Source: The Netherlands, Ministry of Foreign Affairs, ""Netherlands unfreezes Libyan assets for medical supplies,"" August 15, 2011.)","https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.20According to a news release by The Netherlands' Ministry of Foreign Affairs, ""The Netherlands is freeing up €100 million of the Libyan regime?s assets that are frozen in the Netherlands at the urgent request of the World Health Organization. The WHO will use the funds to distribute medical supplies, of which there is currently an acute shortage in Libya, among the Libyan population. The Netherlands can release the money to the WHO because the UN sanctions committee has given its approval. The medical supplies will go to people in Benghazi and other rebel-held areas, areas where there is fighting, and areas still controlled by the Gaddafi regime. The Netherlands is the first country to provide this kind of financial assistance to Libya?s stricken healthcare sector. Minister of Foreign Affairs Uri Rosenthal has described the unfreezing of the assets as a good example of how sanctions should work. ?I always say that sanctions should cut off the regime without hurting the population. That is exactly what is happening now, with Gaddafi?s frozen funds being used to save Libyan lives,? he said."" (Source: The Netherlands, Ministry of Foreign Affairs, ""Netherlands unfreezes Libyan assets for medical supplies,"" August 15, 2011.)",
