Pdf url,Case Name,Jurisdiction of Settlement,Type of Settlement,Monetary Sanctions,Offenses-Alleged,Summary
https://star.worldbank.org/corruption-cases/printpdf/19795,"Akzo Nobel, N.V.",Iraq (UN Oil-for-Food),Criminal,,Unknown,"According to the US Department of Justice Nonprosecution Agreement, ""It is understood that AKZO NOBEL will pay no monetary penalty in connection with this Agreement, based on AKZO NOBEL's representation that its former subsidiary, N.V. Organon, has agreed to enter into a criminal disposition with the Dutch National Public Prosecutor's Office for Financial, https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.26Economic and Environmental Offences (the ""Dutch Public Prosecutor""). AKZO NOBEL represents that, pursuant to this contemplated disposition with the Dutch Public Prosecutor, N.V. Organon will admit criminal liability and pay a criminal fine of no less than € 381,602. It is understood that if there is no such criminal disposition with the Dutch Public Prosecutor within 180 days of the signing of this Agreement, then AKZO NOBEL shall pay a monetary penalty of $800,000 to the United States Treasury. It is further understood that if the criminal fine paid as part of the criminal disposition with the Dutch Public Prosecutor is less than € 381,602, then AKZO NOBEL shall pay to the United States Treasury the difference between the amount of the fine paid as part of the criminal disposition with the Dutch Public Prosecutor and $800,000, at the currency exchange rate prevailing as ofthe date of the execution of the agreement between AKZO NOBEL and the Dutch Public Prosecutor."" (Source: US Department of Justice Nonprosecution Agreement, In re: Akzo Nobel N.V., December 20, 2007.)"
https://star.worldbank.org/corruption-cases/printpdf/19791,AGA Medical Corporation,China,Criminal,Criminal Fine,"Conspiracy to bribe foreign officials, bribery of foreign officials","According to the US Department of Justice Press Release (June 3, 2008), there is no mention of an enforcement action by the Securities and Exchange Commission. (Source: US https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.26Department of Justice Press Release, ""AGA Medical Corporation Agrees to Pay $2 Million Penalty and Enter Deferred Prosecution Agreement for FCPA Violations,"" June 3, 2008.). The June 30, 2008 Deferrred Prosecution Agreement outlines terms of the agreement, including: continued cooperation in investigations by DOJ and other domestic and foreign law enforcement authorities (para 5); Requirement on company not to withhold from DOJ any information, document, records, facilities and/or employees on the basis of attorney-client privilege or work product claim (para 5.c); Company consent to DOJ disclosures to other (domestic and foreign) governmental authorities; and Agreement does not cover past or future misconduct. (Source: US v. AGA Medical Corporation, Case no. 08-cr-00172 (D.C. Minn, 2008), Deferred Prosecution Agreement filed June 3, 2008.). According to DOJ Report to Congress, ""Appendix C: Summaries of Foreign Corrupt Practices Act Enforcement Actions by the United States, January 1, 1998 - September 30, 2010,"" Location and Time Period of Misconduct is China, 1997-2005, specifically corrupt payments by AGA, a high-ranking officer of AGA and other AGA employees to doctors in China who were employed at government-owned hospitals. Payments were made through AGA's local Chinese distributor. In exchange for the payments, the doctors directed government-owned hospitals to purchase AGA products rather than thoseof the company's competitors. The Criminal Information also alleged that from 2000 through 2002, SGA sought patents on several products from the PRC State Intellectual Property Office, and as part of this effort made payments through their local Chinese disrtibutor to government officials employed at the State Intellectual Property Office. AGA Medical admitted and accepted the allegations as part of its Deferred Prosecution Agreement with the Department of Justice. (Source: US v. AGA Medical Corporation, Case No. 08-cr-00172 (D.D.C.), Deferred Prosecution Agreement filed on June 3, 2008.)"
https://star.worldbank.org/corruption-cases/printpdf/19794,AGCO Corporation,Iraq (UN Oil-for-Food),Criminal,Criminal Fine,"Conspiracy to falsify books and records, Conspiracy to commit wire fraud","According to a US Department of Justice Press Release, on September 30, 2009, AGCO Limited, the wholly owned UK subsidiary of AGCO Corp (US Corporation based in Georgia) https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.26was charged with one count of conspiracy to commit wire fraud and to violate the books and records provisions of the Foreign Corrupt Practices Act. As part of its Deferred Prosecution Agreement with the Department of Justice, AGCO Corp admitted that between 2000 and 2003, AGCO Ltd. with the assistance of a Jordanian agent, paid approximately $553,000to the former government of Iraq to secure three contracts under the purview of the UN Oil-for-Food Programme. The contract price was inflated from 13 to 21 percent and the additional funds were then used to pay kickback to the former Iraqi Ministry of Agriculture. (Source: US Department of Justice Press Release, ""AGCO Corp. to Pay $1.6 Million in Connection with Payments to the Former Iraqi Government Under the U.N. Oil-For-Food Program,"" September 30, 2009.). The Department of Justice acknowledged the assistance of the Danish State Prosecutor's Office for Serious Economic Crime. (Source: Ibid.)"
https://star.worldbank.org/corruption-cases/printpdf/19790,ABB Ltd. (Matter #76) / John Samson,Nigeria,Civil,"Disgorgement of Profits, Prejudgment Interest, Civil Penalty","controls violations, Aiding and abetting ABB's falsification of books and records","According to the June 2011 United States Report to the OECD, regarding the ABB Ltd. case, ""In a related case, on July 5, 2006, the Commission filed a settled civil complaint charging four former employees of ABB Ltd. subsidiaries with violating the anti-bribery provisions of the FCPA. The Commission's complaint alleged that the four former employees -- John Samson, a former regional sales manager for West Africa, John G. A. Munro, a former senior vice president of operations, Ian N. Campbell, a former vice president of finance, and John H. Whelan, a former vice president of sales -- participated in a scheme to offer, approve, and/or pay bribes to Nigerian government officials in furtherance of ABB?s bid to obtain a $180 million contract to provide equipment for an oil drilling project in Nigeria's offshore Bonga Oil Samson, Munro, Campbell, and Whelan consented to the entry of final judgments that: (1) permanently enjoined each of them from future violations of the FCPA; (2) ordered each to pay a civil monetary penalty ($50,000 as to Samson, and $40,000 each as to Munro, Campbell and Whelan); and (3) ordered Samson to pay $64,675 in disgorgement and prejudgment interest."" (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, ABB Ltd. Case Summary (#76) at 114-116.)"
https://star.worldbank.org/corruption-cases/printpdf/19792,AGCO Corporation,Iraq (UN Oil-for-Food),Civil,"Disgorgement of Profits, Prejudgment Interest, Civil Penalty","Falsification of books and records, Internal controls violations","According to the US Securities and Exchange Commission's Litigation Release, the SEC's ""complaint alleges that from 2000 through 2003, certain AGCO subsidiaries made approximately $5.9 million in kickback payments in connection with their sales of equipment to Iraq under the United Nations Oil for Food Program (the ""Program""). The kickbacks were characterized as ""after sales service fees"" (""ASSFs""), but no bona fide services were performed. The Program was intended to provide humanitarian relief for the Iraqi population, which faced severe hardship under international trade sanctions. The Program required the Iraqi government to purchase humanitarian goods through a U.N. escrow account; however, AGCO's subsidiaries' kickbacks diverted funds out of the escrow account and into Iraqi-controlled accounts at banks in Jordan."" (Source: US Securities and Exchange Commission, Litigation Release No. 21229 / September 30, 2009, SEC v. AGCO Corporation, Civil Action No. 1:09-CV-01865-RMU (D.D.C.), ""SEC Files Settled Books and Records and Internal Controls Charges Against AGCO Corporation For Improper Payments to Iraq Under the U.N. Oil for Food Program - AGCO Agrees to Pay Over $18.3 Million in Disgorgement, Interest, and Penalties."") Please note that as part of its settlement with the SEC, AGCO Corporation did not admit or deny the agency's allegations against it."
https://star.worldbank.org/corruption-cases/printpdf/19793,AGCO Corporation,Iraq (UN Oil-for-Food),Criminal,Criminal Confiscation,Unspecified,"According to the US Department of Justice Press Release, on September 30, 2009, AGCO settled an ongoing investigation by the Danish State Prosecutor's Office for Serious Economic Crime: ""The charges were based on two Oil-for-Food contracts executed by AGCO's Danish subsidiary, AGCO Denmark A/S. AGCO agreed to pay approximately $630,000 in disgorgement of profits in connection with those charges."" (Source: US Department of Justice Press Release, ""AGCO Corp. to Pay $1.6 Million in Connection with Payments to the Former Iraqi Government Under the U.N. Oil-For-Food Program,"" September 30, 2009.)"
https://star.worldbank.org/corruption-cases/printpdf/19777,AB Volvo / Volvo Construction Equipment AB and Renault Trucks SAS,Iraq (UN Oil-for-Food),Criminal,Criminal Fine,"Conspiracy to falsify books and records, Conspiracy to commit wire fraud","According to the June 2011 United States Report to the OECD, ""On March 20, 2008, AB https://star.worldbank.org/corruption-caseshttps://star.worldbank.org/corruption-cases/articleglossary/#Art.16https://star.worldbank.org/corruption-cases/articleglossary/#Art.26Volvo, a Swedish company, entered into a deferred prosecution agreement with the Department of Justice and a settlement agreement with the SEC in connection with payments made by two of its subsidiaries to obtain contracts administered by the United Nations Oil for Food Program (OFFP). The subsidiaries, Renault Trucks SAS (Renault Trucks) and Volvo Construction Equipment AB (VCE), were charged in separate conspiracies to commit wire fraud and violate the books and records provision of the FCPA. According to the court documents, between November 2000 and April 2003, employees and agents of Renault Trucks paid a total of approximately $5 million in kickbacks to the Iraqi government for a total of approximately $61 million worth of contracts with various Iraqi ministries. To pay the kickbacks, Renault Trucks inflated the price of contracts by approximately 10 percent before submitting them to the U.N. for approval and concealed from the U.N. the fact that the contract prices contained a kickback to the Iraqi government. In some cases, Renault Trucks paid inflated prices to companies that outfitted the chassis and cabs produced by Renault Trucks. Those companies then used the excess funds to pay the kickbacks to the Iraqi government on behalf of Renault Trucks.Between December 2000 and January 2003, Volvo Construction Equipment International AB (VCEI), the predecessor to VCE, and its distributors were awarded a total of approximately $13.8 million worth of contracts. During the same time period, employees, agents and distributors of VCEI paid a total of approximately $1.3 million in kickbacks to the Iraqi government by inflating the price of contracts by approximately 10 percent before submitting them to the U.N. for approval. Similar to Renault Trucks, VCE concealed from the U.N. the fact that the contract prices contained a kickback to the Iraqi government. Criminal Case Disposition: To resolve its criminal liability in connection with this bribery scheme, AB Volvo, on behalf of itself and its subsidiaries, entered into a three-year deferred prosecution agreement with the Department, whereby AB Volvo agreed to pay a criminal fine of $7 million."" (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, AB Volvo Case Summary at 82-83.)"
https://star.worldbank.org/corruption-cases/printpdf/19776,AB Volvo,Iraq (UN Oil-for-Food),Civil,"Disgorgement of Profits, Prejudgment Interest, Civil Penalty","Internal controls violations, Falsification of books and records","According to the June 2011 United States Report to the OECD, ""On March 20, 2008, AB Volvo, a Swedish company, entered into a deferred prosecution agreement with the Department of Justice and a settlement agreement with the SEC in connection with payments made by two of its subsidiaries to obtain contracts administered by the United Nations Oil for Food Program (OFFP). The subsidiaries, Renault Trucks SAS (Renault Trucks) and Volvo Construction Equipment AB (VCE), were charged in separate conspiracies to commit wire fraud and violate the books and records provision of the FCPA.According to the court documents, between November 2000 and April 2003, employees and agents of Renault Trucks paid a total of approximately $5 million in kickbacks to the Iraqi government for a total of approximately $61 million worth of contracts with various Iraqi ministries. To pay the kickbacks, Renault Trucks inflated the price of contracts by approximately 10 percent before submitting them to the U.N. for approval and concealed from the U.N. the fact that the contract prices contained a kickback to the Iraqi government. In some cases, Renault Trucks paid inflated prices to companies that outfitted the chassis and cabs produced by Renault Trucks. Those companies then used the excess funds to pay the kickbacks to the Iraqi government on behalf of Renault Trucks. Between December 2000 and January 2003, Volvo Construction Equipment International AB (VCEI), the predecessor to VCE, and its distributors were awarded a total of approximately $13.8 million worth of contracts. During the same time period, employees, agents and distributors of VCEI paid a total of approximately $1.3 million in kickbacks to the Iraqi government by inflating the price of contracts by approximately 10 percent before submitting them to the U.N. for approval. Similar to Renault Trucks, VCE concealed from the U.N. the fact that the contract prices contained a kickback to the Iraqi government."" (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, AB Volvo Case Summary at 82-83.) AB Volvo's settlement agreement with the US SEC is summarized in the SEC Litigation Release No. 20504 / March 20, 2008."
https://star.worldbank.org/corruption-cases/printpdf/19787,ABB Ltd. (Matter #76) / Ian N. Campbell,Nigeria,Civil,"Disgorgement of Profits, Prejudgment Interest, Civil Penalty","controls violations, Aiding and abetting ABB's falsification of books and records","According to the June 2011 United States Report to the OECD, regarding the ABB Ltd. case, ""In a related case, on July 5, 2006, the Commission filed a settled civil complaint charging four former employees of ABB Ltd. subsidiaries with violating the anti-bribery provisions of the FCPA. The Commission's complaint alleged that the four former employees -- John Samson, a former regional sales manager for West Africa, John G. A. Munro, a former senior vice president of operations, Ian N. Campbell, a former vice president of finance, and John H. Whelan, a former vice president of sales -- participated in a scheme to offer, approve, and/or pay bribes to Nigerian government officials in furtherance of ABB's bid to obtain a $180 million On July 5, 2006, Without admitting or denying the allegations in the complaint, Samson, Munro, Campbell, and Whelan consented to the entry of final judgments that: (1) permanently enjoined each of them from future violations of the FCPA; (2) ordered each to pay a civil monetary penalty ($50,000 as to Samson, and $40,000 each as to Munro, Campbell and Whelan); and (3) ordered Samson to pay $64,675 in disgorgement and prejudgment interest."" (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, ABB Ltd. Case Summary (#76) at 114-116.)"
https://star.worldbank.org/corruption-cases/printpdf/19788,ABB Ltd. (Matter #76) / John G. A. Munro,Nigeria,Civil,"Disgorgement of Profits, Prejudgment Interest, Civil Penalty","controls violations, Aiding and abetting ABB's falsification of books and records","According to the June 2011 United States Report to the OECD, regarding the ABB Ltd. case, ""In a related case, on July 5, 2006, the Commission filed a settled civil complaint charging four former employees of ABB Ltd. subsidiaries with violating the anti-bribery provisions of the FCPA. The Commission's complaint alleged that the four former employees -- John Samson, a former regional sales manager for West Africa, John G. A. Munro, a former senior vice president of operations, Ian N. Campbell, a former vice president of finance, and John H. Whelan, a former vice president of sales -- participated in a scheme to offer, approve, and/or pay bribes to Nigerian government officials in furtherance of ABB's bid to obtain a $180 million On July 5, 2006, Without admitting or denying the allegations in the complaint, Samson, Munro, Campbell, and Whelan consented to the entry of final judgments that: (1) permanently enjoined each of them from future violations of the FCPA; (2) ordered each to pay a civil monetary penalty ($50,000 as to Samson, and $40,000 each as to Munro, Campbell and Whelan); and (3) ordered Samson to pay $64,675 in disgorgement and prejudgment interest."" (Source: US Report to the Organisation for Economic Co-operation and Development, ""Steps taken to implement and enforce the OECD Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,"" Information as of May 31, 2011, ABB Ltd. Case Summary (#76) at 114-116.)"
